Mentor ID,Mentee ID,Relationship ID
1047551371,1047554045,47898
1047548388,1047554030,47897
1047499356,1047554171,47896
1047548830,1047554042,47895
1047547754,1047554070,47894
1047551152,1047554039,47893
1047550210,1047554028,47892
1047550128,1047554035,47891
1047547913,1047554068,47890
1047513401,1047554023,47889
1047551420,1047554057,47888
1047553845,1047554021,47887
1047548842,1047554034,47886
1047540980,1047554073,47885
1047551506,1047554168,47884
1047513328,1047554063,47883
1047551508,1047554067,47882
1047549988,1047554061,47881
1047549490,1047554024,47880
1047550053,1047554029,47879
1047551455,1047554031,47878
1047500301,1047554059,47877
1047547831,1047554032,47876
1047513314,1047554041,47875
1047512491,1047554051,47874
1047549982,1047554044,47873
1047538811,1047554047,47872
1047516311,1047554066,47871
1047541305,1047554157,47870
1047538809,1047554075,47869
1047549914,1047554036,47868
1047512488,1047554033,47867
1047512913,1047554069,47866
1047547585,1047554072,47865
1047551774,1047554022,47863
1047547586,1047554056,47862
1047550080,1047554026,47861
1047513321,1047554170,47860
1047551823,1047554062,47859
1047516308,1047554079,47858
1047550363,1047554078,47856
1047551505,1047549063,47827
1047551571,1047549060,47745
1047548843,1047553255,47264
1047542659,1047552931,47165
1047485501,1047552433,46960
1047547831,1047541079,46893
1047514517,1047551394,46857
1047541893,1047551394,46842
1047548842,1047551614,46816
1047546936,1047551610,46815
1047551774,1047551812,46789
1047551823,1047551612,46788
1047550125,1047551615,46787
1047551757,1047551608,46786
1047547705,1047551648,46785
1047551744,1047551617,46784
1047551740,1047551621,46783
1047516507,1047551609,46782
1047516311,1047551611,46781
1047549988,1047551619,46780
1047538811,1047551616,46779
1047548847,1047551620,46778
1047541369,1047551624,46777
1047541409,1047551402,46766
1047549912,1047551401,46765
1047550124,1047551069,46764
1047550363,1047549401,46763
1047551755,1047551392,46595
1047551371,1047551625,46562
1047551571,1047551623,46561
1047485501,1047551784,46560
1047551455,1047550055,46556
1047551506,1047551395,46509
1047551240,1047551391,46508
1047551449,1047551398,46507
1047551505,1047551388,46506
1047551508,1047551396,46505
1047551520,1047551400,46504
1047551593,1047551389,46503
1047551564,1047551399,46502
1047551636,1047551393,46501
1047551152,1047551390,46500
1047551420,1047551385,46499
1047551343,1047551401,46498
1047551571,1047551392,46497
1047551193,1047551387,46496
1047485501,1047551364,46401
1047513625,1047549901,46345
1047551030,1047548894,46217
